time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,model_x_ddot_mps2,model_theta_ddot_radps2,forward_dynamics_equation_residual_inf
0.360000,0.061930308,0.018501682,0.204304090,-0.101483611,0.092331959,2.720362,1,Solve_Succeeded,0.060628859,0.326565011,1.734723475977e-18
0.370000,0.063980659,0.017522431,0.204925422,-0.098458877,0.077515096,3.464787,1,Solve_Succeeded,0.049299471,0.306145709,0.000000000000e+00
0.380000,0.066035939,0.016573794,0.205437662,-0.095402957,0.077515096,3.464787,1,Solve_Succeeded,0.049299471,0.306145709,0.000000000000e+00
0.390000,0.068096282,0.015653117,0.205944811,-0.092568010,0.063549137,2.653249,1,Solve_Succeeded,0.038614380,0.287033964,0.000000000000e+00
0.400000,0.070160487,0.014761143,0.206349102,-0.089703005,0.063549137,2.653249,1,Solve_Succeeded,0.038614380,0.287033964,0.000000000000e+00
0.410000,0.072228677,0.013895375,0.206748564,-0.087045669,0.050381670,4.033107,1,Solve_Succeeded,0.028533989,0.269145978,6.938893903907e-18
0.420000,0.074299721,0.013056522,0.207051019,-0.084359351,0.050381670,4.033107,1,Solve_Succeeded,0.028533989,0.269145978,6.938893903907e-18
0.430000,0.076373736,0.012242236,0.207348894,-0.081868232,0.037963647,3.766436,1,Solve_Succeeded,0.019021254,0.252403324,8.673617379884e-19
0.440000,0.078449652,0.011453190,0.207555254,-0.079349155,0.037963647,3.766436,1,Solve_Succeeded,0.019021254,0.252403324,8.673617379884e-19
0.450000,0.080527582,0.010687176,0.207757266,-0.077013589,0.026249164,2.663610,1,Solve_Succeeded,0.010041518,0.236732600,3.469446951954e-18
0.460000,0.082606515,0.009944835,0.207872919,-0.074651043,0.026249164,2.663610,1,Solve_Succeeded,0.010041518,0.236732600,3.469446951954e-18
0.470000,0.084686556,0.009224089,0.207984444,-0.072461049,0.015195265,3.416461,1,Solve_Succeeded,0.001562360,0.222065097,3.469446951954e-18
0.480000,0.086766754,0.008525549,0.208014451,-0.070245011,0.015195265,3.416461,1,Solve_Succeeded,0.001562360,0.222065097,3.469446951954e-18
0.490000,0.088847205,0.007847261,0.208040537,-0.068191247,0.004761752,3.384250,1,Solve_Succeeded,-0.006446553,0.208336507,8.673617379884e-19
0.500000,0.090927012,0.007189806,0.207989653,-0.066112335,0.004761752,3.384250,1,Solve_Succeeded,-0.006446553,0.208336507,8.673617379884e-19
0.510000,0.093006266,0.006551345,0.207935042,-0.064186059,-0.005088994,3.776277,1,Solve_Succeeded,-0.014013601,0.195486634,8.673617379884e-19
0.520000,0.095084118,0.005932432,0.207807734,-0.062235493,-0.005088994,3.776277,1,Solve_Succeeded,-0.014013601,0.195486634,8.673617379884e-19
0.530000,0.097160656,0.005331336,0.207676882,-0.060428525,-0.014392179,4.137777,1,Solve_Succeeded,-0.021165335,0.183459138,1.734723475977e-18
0.540000,0.099235078,0.004748585,0.207477349,-0.058598087,-0.014392179,4.137777,1,Solve_Succeeded,-0.021165335,0.183459138,1.734723475977e-18
0.550000,0.101307464,0.004182549,0.207274444,-0.056902769,-0.023180749,2.682315,1,Solve_Succeeded,-0.027926603,0.172201285,3.469446951954e-18
0.560000,0.103377058,0.003633733,0.207006631,-0.055184769,-0.023180749,2.682315,1,Solve_Succeeded,-0.027926603,0.172201285,3.469446951954e-18
0.570000,0.105443936,0.003100601,0.206735611,-0.053593936,-0.031485539,2.902014,1,Solve_Succeeded,-0.034320651,0.161663716,0.000000000000e+00
0.580000,0.107507381,0.002583636,0.206403232,-0.051981177,-0.031485539,2.902014,1,Solve_Succeeded,-0.034320651,0.161663716,0.000000000000e+00
0.590000,0.109567467,0.002081389,0.206067798,-0.050488122,-0.039335403,2.626817,1,Solve_Succeeded,-0.040369233,0.151800231,6.938893903907e-18
0.600000,0.111623517,0.001594323,0.205674345,-0.048973868,-0.039335403,2.626817,1,Solve_Succeeded,-0.040369233,0.151800231,6.938893903907e-18
0.610000,0.113675597,0.001121073,0.205277982,-0.047572316,-0.046757348,3.144904,1,Solve_Succeeded,-0.046092705,0.142567590,6.938893903907e-18
0.620000,0.115723068,0.000662080,0.204826739,-0.046150264,-0.046757348,3.144904,1,Solve_Succeeded,-0.046092705,0.142567590,6.938893903907e-18
0.630000,0.117765994,0.000216059,0.204372725,-0.044834341,-0.053776646,2.820360,1,Solve_Succeeded,-0.051510116,0.133925319,6.938893903907e-18
0.640000,0.119803769,-0.000216570,0.203866787,-0.043498592,-0.053776646,2.820360,1,Solve_Succeeded,-0.051510116,0.133925319,6.938893903907e-18
0.650000,0.121836454,-0.000637017,0.203358207,-0.042262801,-0.060416951,3.219342,1,Solve_Succeeded,-0.056639292,0.125835536,6.938893903907e-18
0.660000,0.123863474,-0.001044881,0.202800486,-0.041007835,-0.060416951,3.219342,1,Solve_Succeeded,-0.056639292,0.125835536,6.938893903907e-18
0.670000,0.125884888,-0.001441303,0.202240246,-0.039847032,-0.066700400,3.245187,1,Solve_Succeeded,-0.061496914,0.118262783,1.387778780781e-17
0.680000,0.127900152,-0.001825898,0.201633486,-0.038667682,-0.066700400,3.245187,1,Solve_Succeeded,-0.061496914,0.118262783,1.387778780781e-17
0.690000,0.129909321,-0.002199744,0.201024324,-0.037577054,-0.072647711,2.749627,1,Solve_Succeeded,-0.066098595,0.111173874,6.505213034913e-19
0.700000,0.131911879,-0.002562473,0.200371112,-0.036468486,-0.072647711,2.749627,1,Solve_Succeeded,-0.066098595,0.111173874,6.505213034913e-19
0.710000,0.133907878,-0.002915099,0.199715607,-0.035443529,-0.078278276,2.539119,1,Solve_Succeeded,-0.070458945,0.104537748,4.336808689942e-19
0.720000,0.135896832,-0.003257272,0.199018381,-0.034401218,-0.078278276,2.539119,1,Solve_Succeeded,-0.070458945,0.104537748,4.336808689942e-19
0.730000,0.137878787,-0.003589949,0.198318967,-0.033437715,-0.083610242,2.550520,1,Solve_Succeeded,-0.074591638,0.098325329,0.000000000000e+00
0.740000,0.139853283,-0.003912793,0.197580026,-0.032457428,-0.083610242,2.550520,1,Solve_Succeeded,-0.074591638,0.098325329,0.000000000000e+00
0.750000,0.141820366,-0.004226709,0.196838997,-0.031551436,-0.088660598,3.122920,1,Solve_Succeeded,-0.078509471,0.092509407,1.387778780781e-17
0.760000,0.143779597,-0.004531374,0.196060512,-0.030629210,-0.088660598,3.122920,1,Solve_Succeeded,-0.078509471,0.092509407,1.387778780781e-17
0.770000,0.145731020,-0.004827640,0.195280034,-0.029777037,-0.093445243,2.845874,1,Solve_Succeeded,-0.082224425,0.087064513,8.673617379884e-19
0.780000,0.147674220,-0.005115200,0.194464055,-0.028909165,-0.093445243,2.845874,1,Solve_Succeeded,-0.082224425,0.087064513,8.673617379884e-19
0.790000,0.149609239,-0.005394859,0.193646172,-0.028107358,-0.097979060,4.124256,1,Solve_Succeeded,-0.085747710,0.081966808,4.336808689942e-19
0.800000,0.151535682,-0.005666321,0.192794634,-0.027290371,-0.097979060,4.124256,1,Solve_Succeeded,-0.085747710,0.081966808,4.336808689942e-19
0.810000,0.153453589,-0.005930346,0.191941277,-0.026535697,-0.102275978,2.716603,1,Solve_Succeeded,-0.089089822,0.077193981,4.336808689942e-19
0.820000,0.155362587,-0.006186652,0.191056011,-0.025766349,-0.102275978,2.716603,1,Solve_Succeeded,-0.089089822,0.077193981,4.336808689942e-19
0.830000,0.157262712,-0.006435956,0.190169007,-0.025055783,-0.106349039,2.718977,1,Solve_Succeeded,-0.092260584,0.072725150,1.387778780781e-17
0.840000,0.159153611,-0.006677987,0.189251741,-0.024331036,-0.106349039,2.718977,1,Solve_Succeeded,-0.092260584,0.072725150,1.387778780781e-17
0.850000,0.161035317,-0.006913424,0.188332816,-0.023661750,-0.110210451,2.503644,1,Solve_Succeeded,-0.095269192,0.068540769,1.387778780781e-17
0.860000,0.162907497,-0.007142006,0.187385190,-0.022978762,-0.110210451,2.503644,1,Solve_Succeeded,-0.095269192,0.068540769,1.387778780781e-17
0.870000,0.164770182,-0.007364374,0.186435977,-0.022348106,-0.113871641,3.394551,1,Solve_Succeeded,-0.098124257,0.064622547,2.775557561563e-17
0.880000,0.166623054,-0.007580280,0.185459539,-0.021704218,-0.113871641,3.394551,1,Solve_Succeeded,-0.098124257,0.064622547,2.775557561563e-17
0.890000,0.168466144,-0.007790328,0.184481587,-0.021109716,-0.117343308,2.878407,1,Solve_Succeeded,-0.100833839,0.060953361,1.387778780781e-17
0.900000,0.170299151,-0.007994281,0.183477806,-0.020502439,-0.117343308,2.878407,1,Solve_Succeeded,-0.100833839,0.060953361,1.387778780781e-17
0.910000,0.172122102,-0.008192709,0.182472578,-0.019941773,-0.120635472,4.068565,1,Solve_Succeeded,-0.103405486,0.057517188,1.387778780781e-17
0.920000,0.173934714,-0.008385386,0.181442847,-0.019368778,-0.120635472,4.068565,1,Solve_Succeeded,-0.103405486,0.057517188,1.387778780781e-17
0.930000,0.175737011,-0.008572850,0.180411734,-0.018839779,-0.123757510,2.642832,1,Solve_Succeeded,-0.105846263,0.054299031,1.387778780781e-17
0.940000,0.177528725,-0.008754884,0.179357374,-0.018298889,-0.123757510,2.642832,1,Solve_Succeeded,-0.105846263,0.054299031,1.387778780781e-17
0.950000,0.179309878,-0.008931998,0.178301692,-0.017799527,-0.126718207,2.523409,1,Solve_Succeeded,-0.108162788,0.051284853,2.775557561563e-17
0.960000,0.181080216,-0.009103984,0.177223957,-0.017288703,-0.126718207,2.523409,1,Solve_Succeeded,-0.108162788,0.051284853,2.775557561563e-17
0.970000,0.182839762,-0.009271322,0.176144959,-0.016817081,-0.129525788,2.610075,1,Solve_Succeeded,-0.110361259,0.048461518,0.000000000000e+00
0.980000,0.184588271,-0.009433815,0.175045039,-0.016334416,-0.129525788,2.610075,1,Solve_Succeeded,-0.110361259,0.048461518,0.000000000000e+00
0.990000,0.186325767,-0.009591916,0.173943914,-0.015888757,-0.132187955,2.434414,1,Solve_Succeeded,-0.112447482,0.045816732,8.673617379884e-19
1.000000,0.188052018,-0.009745435,0.172822941,-0.015432468,-0.132187955,2.434414,1,Solve_Succeeded,-0.112447482,0.045816732,8.673617379884e-19
1.010000,0.189767046,-0.009894803,0.171700819,-0.015011111,-0.134711924,2.479624,1,Solve_Succeeded,-0.114426892,0.043338988,0.000000000000e+00
1.020000,0.191470631,-0.010039837,0.170559872,-0.014579527,-0.134711924,2.479624,1,Solve_Succeeded,-0.114426892,0.043338988,0.000000000000e+00
1.030000,0.193162794,-0.010180942,0.169417827,-0.014180918,-0.137104454,2.773475,1,Solve_Succeeded,-0.116304583,0.041017516,8.673617379884e-19
1.040000,0.194843327,-0.010317946,0.168257931,-0.013772479,-0.137104454,2.773475,1,Solve_Succeeded,-0.116304583,0.041017516,8.673617379884e-19
1.050000,0.196512248,-0.010451232,0.167096988,-0.013395164,-0.139371876,2.933845,1,Solve_Succeeded,-0.118085329,0.038842239,2.775557561563e-17
1.060000,0.198169361,-0.010580634,0.165919121,-0.013008409,-0.139371876,2.933845,1,Solve_Succeeded,-0.118085329,0.038842239,2.775557561563e-17
1.070000,0.199814683,-0.010706513,0.164740256,-0.012651027,-0.141520122,2.648734,1,Solve_Succeeded,-0.119773601,0.036803725,0.000000000000e+00
1.080000,0.201448028,-0.010828713,0.163545351,-0.012284589,-0.141520122,2.648734,1,Solve_Succeeded,-0.119773601,0.036803725,0.000000000000e+00
1.090000,0.203069412,-0.010947574,0.162349493,-0.011945868,-0.143554752,2.501057,1,Solve_Succeeded,-0.121373591,0.034893147,2.775557561563e-17
1.100000,0.204678659,-0.011062945,0.161138439,-0.011598469,-0.143554752,2.501057,1,Solve_Succeeded,-0.121373591,0.034893147,2.775557561563e-17
1.110000,0.206275785,-0.011175150,0.159926478,-0.011277220,-0.145480976,2.924051,1,Solve_Succeeded,-0.122889227,0.033102243,8.673617379884e-19
1.120000,0.207860623,-0.011284046,0.158700126,-0.010947665,-0.145480976,2.924051,1,Solve_Succeeded,-0.122889227,0.033102243,8.673617379884e-19
1.130000,0.209433186,-0.011389935,0.157472910,-0.010642773,-0.147303678,2.573802,1,Solve_Succeeded,-0.124324192,0.031423282,2.775557561563e-17
1.140000,0.210993317,-0.011492683,0.156232073,-0.010329943,-0.147303678,2.573802,1,Solve_Succeeded,-0.124324192,0.031423282,2.775557561563e-17
1.150000,0.212541030,-0.011592575,0.154990414,-0.010040369,-0.149027436,2.691607,1,Solve_Succeeded,-0.125681940,0.029849031,2.775557561563e-17
1.160000,0.214076175,-0.011689483,0.153735869,-0.009743217,-0.149027436,2.691607,1,Solve_Succeeded,-0.125681940,0.029849031,2.775557561563e-17
1.170000,0.215598765,-0.011783677,0.152480544,-0.009467986,-0.150656544,2.723781,1,Solve_Succeeded,-0.126965710,0.028372718,0.000000000000e+00
1.180000,0.217108659,-0.011875034,0.151213036,-0.009185534,-0.150656544,2.723781,1,Solve_Succeeded,-0.126965710,0.028372718,0.000000000000e+00
1.190000,0.218605868,-0.011963809,0.149944789,-0.008923737,-0.152195029,2.587765,1,Solve_Succeeded,-0.128178542,0.026988007,1.734723475977e-18
1.200000,0.220090260,-0.012049886,0.148665034,-0.008655070,-0.152195029,2.587765,1,Solve_Succeeded,-0.128178542,0.026988007,1.734723475977e-18
1.210000,0.221561846,-0.012133505,0.147384578,-0.008405853,-0.153646667,2.429795,1,Solve_Succeeded,-0.129323286,0.025688969,8.673617379884e-19
1.220000,0.223020500,-0.012214555,0.146093261,-0.008150116,-0.153646667,2.429795,1,Solve_Succeeded,-0.129323286,0.025688969,8.673617379884e-19
1.230000,0.224466233,-0.012293263,0.144801280,-0.007912684,-0.155015004,2.548625,1,Solve_Succeeded,-0.130402619,0.024470055,0.000000000000e+00
1.240000,0.225898926,-0.012369523,0.143499061,-0.007669075,-0.155015004,2.548625,1,Solve_Succeeded,-0.130402619,0.024470055,0.000000000000e+00
1.250000,0.227318589,-0.012443551,0.142196213,-0.007442684,-0.156303366,2.550198,1,Solve_Succeeded,-0.131419053,0.023326074,8.673617379884e-19
1.260000,0.228725110,-0.012515245,0.140883724,-0.007210455,-0.156303366,2.550198,1,Solve_Succeeded,-0.131419053,0.023326074,8.673617379884e-19
