time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,first_x_ddot_mps2,first_theta_ddot_radps2,passive_hinge_id_residual_Nm
0.360000,0.061989955,0.018570691,0.204838685,-0.101737181,0.092795516,2.969859,1,Solve_Succeeded,0.060970297,0.327464694,0.000000000000e+00
0.370000,0.064045692,0.017589003,0.205463468,-0.098704048,0.077946732,3.290797,1,Solve_Succeeded,0.049617423,0.306982588,0.000000000000e+00
0.380000,0.066106391,0.016638013,0.205978928,-0.095639756,0.077946732,3.290797,1,Solve_Succeeded,0.049617423,0.306982588,0.000000000000e+00
0.390000,0.068172184,0.015715059,0.206489291,-0.092796999,0.063950897,3.335885,1,Solve_Succeeded,0.038910340,0.287812336,0.000000000000e+00
0.400000,0.070241869,0.014820887,0.206896579,-0.089924206,0.063950897,3.335885,1,Solve_Succeeded,0.038910340,0.287812336,0.000000000000e+00
0.410000,0.072315570,0.013952993,0.207299033,-0.087259609,0.050755446,2.823749,1,Solve_Succeeded,0.028809337,0.269869865,0.000000000000e+00
0.420000,0.074392151,0.013112086,0.207604277,-0.084566048,0.050755446,2.823749,1,Solve_Succeeded,0.028809337,0.269869865,0.000000000000e+00
0.430000,0.076471731,0.012295812,0.207904935,-0.082068179,0.038311192,3.059852,1,Solve_Succeeded,0.019277267,0.253076475,0.000000000000e+00
0.440000,0.078553239,0.011504846,0.208113888,-0.079542368,0.038311192,3.059852,1,Solve_Succeeded,0.019277267,0.253076475,0.000000000000e+00
0.450000,0.080636784,0.010736973,0.208318488,-0.077200526,0.026572107,2.851378,1,Solve_Succeeded,0.010279380,0.237358506,0.000000000000e+00
0.460000,0.082721358,0.009992836,0.208436551,-0.074831720,0.026572107,2.851378,1,Solve_Succeeded,0.010279380,0.237358506,0.000000000000e+00
0.470000,0.084807064,0.009270352,0.208550481,-0.072635893,0.015495117,3.486406,1,Solve_Succeeded,0.001783170,0.222647014,0.000000000000e+00
